0	0
1	95.1
2	180.4
3	255.9
4	321.6
5	377.5
6	423.6
7	459.9
8	486.4
9	503.1
10	510
11	507.1
12	494.4
13	471.9
14	439.6
15	397.5
16	345.6
17	283.9
18	212.4
19	131.1
20	40
21	-60.9
22	-171.6
23	-292.1
24	-422.4
25	-562.5
26	-712.4
27	-872.1
28	-1041.6
29	-1220.9
30	-1410
31	-1608.9
32	-1817.6
33	-2036.1
34	-2264.4
35	-2502.5
36	-2750.4
37	-3008.1
38	-3275.6
39	-3552.9
40	-3840
41	-4136.9
42	-4443.6
43	-4760.1
44	-5086.4
45	-5422.5
46	-5768.4
47	-6124.1
48	-6489.6
49	-6864.9
50	-7250
51	-7644.9
52	-8049.6
53	-8464.1
54	-8888.4
55	-9322.5
56	-9766.4
57	-10220.1
58	-10683.6
59	-11156.9
60	-11640
61	-12132.9
62	-12635.6
63	-13148.1
64	-13670.4
65	-14202.5
66	-14744.4
67	-15296.1
68	-15857.6
69	-16428.9
70	-17010
71	-17600.9
72	-18201.6
73	-18812.1
74	-19432.4
75	-20062.5
76	-20702.4
77	-21352.1
78	-22011.6
79	-22680.9
80	-23360
81	-24048.9
82	-24747.6
83	-25456.1
84	-26174.4
85	-26902.5
86	-27640.4
87	-28388.1
88	-29145.6
89	-29912.9
90	-30690
91	-31476.9
92	-32273.6
93	-33080.1
94	-33896.4
95	-34722.5
96	-35558.4
97	-36404.1
98	-37259.6
99	-38124.9
100	-39000
